기능,Win,Mac,비고,Keep,구분
새로고침,Ctrl + R,Cmd(⌘) + R,,Yes,기본
메뉴 보기,/,/,,Yes,기본
즐겨찾기에 추가,Ctrl + Alt + Shift + F,Ctrl + Alt + Shift + F,,No,기본
사이드바 열기/닫기,Ctrl + \,Cmd(⌘) + \,,Yes,기본
페이지 생성 01,"/페이지 ","/페이지 ",,Yes,페이지
페이지 내 검색,Ctrl + F,Cmd(⌘) + F,현재 페이지 내에서 검색,Yes,페이지
전체 페이지로 열기,Ctrl + Enter,Cmd(⌘) + Enter,,No,페이지
다음 페이지 이동,Alt + J,Option + J,,No,페이지
이전 페이지 이동,Alt + K,Option + K,,No,페이지
페이지 원본 비율,Ctrl + O,Cmd(⌘) + O,,No,페이지
현재 페이지 링크를 클립보드로 복사,Ctrl + L,Cmd(⌘) + L,,No,페이지
페이지 옮기기,Ctrl + Shift + P,Cmd(⌘) + Shift + P,,No,페이지
페이지 닫기,Ctrl + W,Cmd(⌘) + W,,No,페이지
페이지 이동,Ctrl + Tab,Ctrl + Shift + Tab,,No,페이지
새로운 탭 열기,Ctrl + T,Cmd(⌘) + T,,No,페이지
새 탭에서 페이지 열기,Ctrl + 페이지 클릭,Cmd(⌘) + 페이지 클릭,,Yes,페이지
새로운 창 열기,Ctrl + Shift + N,Cmd(⌘) + Shift + N,노션 앱 사용시,No,페이지
페이지 바로가기 생성,[[ +  페이지 선택,[[ +  페이지 선택,,No,페이지
페이지 생성 02,Ctrl + N,Cmd(⌘) + N,노션 앱 사용시(웹 사용시 새 브라우저 창이 열림),No,페이지
모드 변경(다크/라이트 전환),Ctrl + Shift + L,Cmd(⌘) + Shift + L,,No,페이지
뒤로가기/앞으로가기,Ctrl + [ / Ctrl + ],Cmd(⌘) + [ / Cmd(⌘) + ],,Yes,페이지
빠른 검색,Ctrl + P or K,Cmd(⌘) + P or K,노션 내에서 검색,Yes,페이지
페이지 확대/축소,Ctrl + + / Ctrl + -,Cmd(⌘) + + / Cmd(⌘) + -,,Yes,페이지
제목 3 생성,### + Space,### + Space,/제목1 or /h3 가능,Yes,기본블럭
제목 2 생성,## + Space,## + Space,/제목1 or /h2 가능,Yes,기본블럭
번호 매기기 목록 생성,1 + . + Space,1 + . + Space,/번호 or /num 가능,Yes,기본블럭
간단한 표 생성,/표 or /table,/표 or /table,,No,기본블럭
콜아웃 블록 생성,/콜아웃 or /cell,/콜아웃 or /cell,,Yes,기본블럭
코드 생성,` ` `,` ` ` (option + ~ or ₩),/코드 or /code 가능,No,기본블럭
할 일 목록,[] + Space,[] + Space,/할일 or /todo 가능,Yes,기본블럭
"토글 ",> + Space,> + Space,/토글 or /toggle 가능,Yes,기본블럭
인용문,“ + Space,“ + Space,/인용 or /quote 가능,Yes,기본블럭
구분선 넣기,"- - - ","- - - ",/구분선 or /div 가능,Yes,기본블럭
이모지 입력,/이모지 or : + 이모지名,/이모지 or : + 이모지名,,Yes,기본블럭
제목 1 생성,# + Space,# + Space,/제목1 or /h1 가능,Yes,기본블럭
글머리 기호 목록,+ or * or -  + Space,+ or * or -  + Space,/글머리 or /bulleted 가능,Yes,기본블럭
텍스트 블록으로 변환,,Cmd(⌘) + Option + 0,,No,블록유형 변경
페이지 블록으로 변환,Ctrl + Shift + 9,Cmd(⌘) + Option + 9,,No,블록유형 변경
코드 블록으로 변환,Ctrl + Shift + 8,Cmd(⌘) + Option + 8,,No,블록유형 변경
토글 목록 블록으로 변환,Ctrl + Shift + 7,Cmd(⌘) + Option + 7,,No,블록유형 변경
번호매기기 블록으로 변환,Ctrl + Shift + 6,Cmd(⌘) + Option + 6,,No,블록유형 변경
글머리 기호 블록으로 변환,Ctrl + Shift + 5,Cmd(⌘) + Option + 5,,No,블록유형 변경
할 일 목록으로 변환,Ctrl + Shift + 4,Cmd(⌘) + Option + 4,,No,블록유형 변경
제목 3로 변환,Ctrl + Shift + 3,Cmd(⌘) + Option + 3,,No,블록유형 변경
제목 2로 변환,Ctrl + Shift + 2,Cmd(⌘) + Option + 2,,No,블록유형 변경
제목 1로 변환,Ctrl + Shift + 1,Cmd(⌘) + Option + 1,,No,블록유형 변경
블록 유형 변경,/전환,/전환,,No,블록유형 변경
링크 바로 삽입,텍스트 선택 후 Ctrl + V,텍스트 선택 후 Cmd(⌘) + V,,No,문서작성
내어쓰기,Shift + Tab,Shift + Tab,,No,문서작성
되돌리기,Ctrl + Shift + z or Ctrl + y,Cmd(⌘) + Shift + z or Cmd(⌘) + y,,Yes,문서작성
텍스트 입력,Enter,Enter,,Yes,문서작성
텍스트 인라인 코드,Ctrl + E,Cmd(⌘) + E,,No,문서작성
실행취소,"Ctrl + z ","Cmd(⌘) + z ",,Yes,문서작성
텍스트 줄 바꿈,Shift + Enter,Shift + Enter,,Yes,문서작성
최근 사용한 글자색 적용,Ctrl + Shift + H,Cmd(⌘) + Shift + H,,No,문서작성
폰트 취소선,Ctrl + Shift + X,Cmd(⌘) + Shift + X,,No,문서작성
링크 삽입,텍스트 선택 후 Ctrl + K,텍스트 선택 후 Cmd(⌘) + K,,No,문서작성
폰트 굵게,Ctrl + B,Cmd(⌘) + B,,Yes,문서작성
들여쓰기,Tab,Tab,,No,문서작성
폰트 기울임,Ctrl + I,Cmd(⌘) + I,,No,문서작성
폰트 밑줄,Ctrl + U,Cmd(⌘) + U,,Yes,문서작성
배경색 빨간색,/빨간색 배경 or /red background,/빨간색 배경 or /red background,,No,색 변경
배경색 분홍색,/분홍색 배경 or /pink background,/분홍색 배경 or /pink background,,No,색 변경
배경색 보라색,/보라색 배경 or /purple background,/보라색 배경 or /purple background,,No,색 변경
배경색 파란색,/파란색 배경 or /blue background,/파란색 배경 or /blue background,,No,색 변경
배경색 초록색,/초록색 배경 or /green background,/초록색 배경 or /green background,,No,색 변경
배경색 노란색,/노란색 배경 or /yellow background,/노란색 배경 or /yellow background,,No,색 변경
배경색 주황색,/주황색 배경 or /orange background,/주황색 배경 or /orange background,,No,색 변경
배경색 갈색,/갈색 배경 or /brown background,/갈색 배경 or /brown background,,No,색 변경
배경색 회색,/회색 배경 or /gray background,/회색 배경 or /gray background,,No,색 변경
배경색 기본,/기본 배경 or /default background,/기본 배경 or /default background,,No,색 변경
배경색 변경,/배경 or /background,/배경 or /background,,Yes,색 변경
글자색 빨간색,/빨간색 or /red,/빨간색 or /red,,No,색 변경
글자색 분홍색,/분홍색 or /pink,/분홍색 or /pink,,No,색 변경
글자색 보라색,/보라색 or /purple,/보라색 or /purple,,No,색 변경
글자색 파란색,/파란색 or /blue,/파란색 or /blue,,No,색 변경
글자색 초록색,/초록색 or /green,/초록색 or /green,,No,색 변경
글자색 노란색,/노란색 or /yellow,/노란색 or /yellow,,No,색 변경
글자색 주황색,/주황색 or /orange,/주황색 or /orange,,No,색 변경
글자색 갈색,/갈색 or /brown,/갈색 or /brown,,No,색 변경
글자색 회색,/회색 or /gray,/회색 or /gray,,No,색 변경
글자색 기본,/기본 or /default,/기본 or /default,,No,색 변경
글자색 변경,/색 or /color,/색 or /color,,Yes,색 변경
페이지 블록 선택 후 페이지 블록 이름 변경,Ctrl + Shift + R,Cmd(⌘) + Shift + R,,No,블록편집
페이지 블록 선택 후 새 탭에서 페이지 열기,Ctrl + Shift + Enter,Cmd(⌘) + Shift + Enter,,No,블록편집
전체 토글 확장 / 닫기,Ctrl + Alt + T,Cmd(⌘) + Option + T,,No,블록편집
토글 확장(닫기) / 전체 화면,Ctrl + Enter,Cmd(⌘) + Enter,,No,블록편집
여러 블록 선택(확장),Shift + Click,Shift + Click,여러 블록 선택 후 취소는 Esc,Yes,블록편집
블록 삭제,Delete,Delete,블록이 파랗게 선택된 상태에서 동작,Yes,블록편집
블록 이동(상/하/좌/우),↑ / ↓ / ← / →,↑ / ↓ / ← / →,,Yes,블록편집
블록 전체 선택,Ctrl + A,Cmd(⌘) + A,블록이 파랗게 선택된 상태에서 동작,Yes,블록편집
블록 선택,Esc,Esc,,Yes,블록편집
블록 복제 02,Alt + 드래그&드롭,Option + 드래그&드롭,드롭한 자리로 복제,Yes,블록편집
블록 확장(좌/우),"Shift + ← /  Shift + → ","Shift + ← /  Shift + → ",블록이 파랗게 선택된 상태에서 동작,Yes,블록편집
블록 확장(위/아래),Shift + ↑ / Shift + ↓,Shift + ↑ / Shift + ↓,블록이 파랗게 선택된 상태에서 동작,Yes,블록편집
블록 복제 01,Ctrl + D,Cmd(⌘) + D,선택된 블록이 바로 아래에 복제,Yes,블록편집
pdf,/pdf,/pdf,,No,미디어
임베드,/임베드,/임베드,,Yes,미디어
파일,/파일 or /file,/파일 or /file,,Yes,미디어
코드-Mermaid,/코드mermaid or /codemermaid,/코드mermaid or /codemermaid,,No,미디어
오디오,/오디오 or /audio,/오디오 or /audio,,No,미디어
동영상,/동영상 or /video,/동영상 or /video,,No,미디어
북마크,/북마크 or /bookmark,/북마크 or /bookmark,,No,미디어
이미지,/이미지 or /image,/이미지 or /image,,Yes,미디어
오늘날짜 멘션,@ + 오늘,@ + 오늘,,No,고급
리마인더 멘션,@ + 리마이더,@ + 리마이더,,Yes,고급
날짜 멘션,@ + 날짜,@ + 날짜,,Yes,고급
텍스트로 수식 기호,/인수학,/인수학,,No,고급
수학공식 블록,/수학블록,/수학블록,,No,고급
링크된 데이터베이스 보기,"/링크 or /linked ",/링크 or /linked,/생성 or /created 가능,No,고급
전체 페이지 데이터베이스 생성,/데이전체 or /databasefullpage,/데이전체 or /databasefullpage,,Yes,고급
인라인 데이터베이스 생성,/데이인라 or /databaseinline,/데이인라 or /databaseinline,,Yes,고급
AI Assist,Ctrl + J,Cmd(⌘) + J,,Yes,고급
5개의 열,/5개의열 or /5columns,/5개의열 or /5columns,,Yes,고급
4개의 열,/4개의열 or /4columns,/4개의열 or /4columns,,Yes,고급
3개의 열,/3개의열 or /3columns,/3개의열 or /3columns,,Yes,고급
2개의 열,/2개의열 or /2columns,/2개의열 or /2columns,,Yes,고급
제목 토글 3,/제목토글3 or /toggle3,/제목토글3 or /toggle3,,No,고급
제목 토글 2,/제목토글2 or /toggle2,/제목토글2 or /toggle2,,No,고급
제목 토글 1,/제목토글1 or /toggle1,/제목토글1 or /toggle1,,No,고급
동기화 블록,/동기화블록 or /synced,/동기화블록 or /synced,,No,고급
이동 경로,/이동경로 or /breadcrumb,/이동경로 or /breadcrumb,,No,고급
템플릿 버튼,/템플릿버튼 or /template,/템플릿버튼 or /template,,No,고급
수학 공식 블록,/수학공식블록 or /equation,/수학공식블록 or /equation,,No,고급
목차,/목차 or /toc,/목차 or /toc,,No,고급