기능,Win,Mac,비고,Keep
오늘날짜 멘션,@ + 오늘,@ + 오늘,,No
리마인더 멘션,@ + 리마이더,@ + 리마이더,,Yes
날짜 멘션,@ + 날짜,@ + 날짜,,Yes
텍스트로 수식 기호,/인수학,/인수학,,No
수학공식 블록,/수학블록,/수학블록,,No
링크된 데이터베이스 보기,"/링크 or /linked ",/링크 or /linked,/생성 or /created 가능,No
전체 페이지 데이터베이스 생성,/데이전체 or /databasefullpage,/데이전체 or /databasefullpage,,Yes
인라인 데이터베이스 생성,/데이인라 or /databaseinline,/데이인라 or /databaseinline,,Yes
AI Assist,Ctrl + J,Cmd(⌘) + J,,Yes
5개의 열,/5개의열 or /5columns,/5개의열 or /5columns,,Yes
4개의 열,/4개의열 or /4columns,/4개의열 or /4columns,,Yes
3개의 열,/3개의열 or /3columns,/3개의열 or /3columns,,Yes
2개의 열,/2개의열 or /2columns,/2개의열 or /2columns,,Yes
제목 토글 3,/제목토글3 or /toggle3,/제목토글3 or /toggle3,,No
제목 토글 2,/제목토글2 or /toggle2,/제목토글2 or /toggle2,,No
제목 토글 1,/제목토글1 or /toggle1,/제목토글1 or /toggle1,,No
동기화 블록,/동기화블록 or /synced,/동기화블록 or /synced,,No
이동 경로,/이동경로 or /breadcrumb,/이동경로 or /breadcrumb,,No
템플릿 버튼,/템플릿버튼 or /template,/템플릿버튼 or /template,,No
수학 공식 블록,/수학공식블록 or /equation,/수학공식블록 or /equation,,No
목차,/목차 or /toc,/목차 or /toc,,No